id,station_name,short_name,total_docks,docks_in_service,status,lat,lng,location,:@computed_region_awaf_s7ux,:@computed_region_6mkv_f3dw,:@computed_region_vrxf_vc4k,:@computed_region_bdys_3d7i,:@computed_region_43wa_7qmu,:@computed_region_rpca_8um6,:@computed_region_8hcu_yrd4
a3a528d0-a135-11e9-9cda-0a87ae2ba916,Stony Island Ave & 64th St,KA1503000021,11,11,In Service,41.778881,-87.586647,"{'type': 'Point', 'coordinates': [-87.586647, 41.778881]}",53,22260,9,134,4,60,3
a3b1e588-a135-11e9-9cda-0a87ae2ba916,Ashland Ave & Pershing Rd,16932,11,11,In Service,41.823465,-87.665577,"{'type': 'Point', 'coordinates': [-87.665577, 41.823465]}",26,14924,56,721,1,37,7
1594046439642845942,California Ave & Winona St,,6,6,In Service,41.974712,-87.697852,"{'type': 'Point', 'coordinates': [-87.697852, 41.974712]}",46,21849,6,28,24,20,40
a3aa7897-a135-11e9-9cda-0a87ae2ba916,Elston Ave & Wabansia Ave,TA1309000032,23,23,In Service,41.912919,-87.664169,"{'type': 'Point', 'coordinates': [-87.664169, 41.912919]}",16,22620,25,109,11,49,32
a3aa91f4-a135-11e9-9cda-0a87ae2ba916,Greenview Ave & Diversey Pkwy,13294,15,15,In Service,41.9325896343,-87.6659363508,"{'type': 'Point', 'coordinates': [-87.665936350822, 41.932589634298]}",16,21190,57,712,40,22,32
a3a9c5f7-a135-11e9-9cda-0a87ae2ba916,Western Ave & 24th St,TA1309000003,7,7,In Service,41.84847,-87.685109,"{'type': 'Point', 'coordinates': [-87.685109, 41.84847]}",8,14920,33,204,26,43,25
1575949510978564828,North Ave & New England Ave,,9,9,In Service,41.9092204,-87.7971406,"{'type': 'Point', 'coordinates': [-87.7971406, 41.9092204]}",39,4454,26,598,7,3,29
1521686986436309688,Damen Ave & Wabansia Ave,,12,12,In Service,41.9122813,-87.6773211,"{'type': 'Point', 'coordinates': [-87.6773211, 41.9122813]}",16,22535,25,438,11,4,32
a3b4728f-a135-11e9-9cda-0a87ae2ba916,Racine Ave & Washington Blvd,654,11,11,In Service,41.883073,-87.656952,"{'type': 'Point', 'coordinates': [-87.656952, 41.883073]}",41,14917,29,63,46,44,27
1932113567217736592,Mango Ave & North Ave,24196,15,15,In Service,41.90958,-87.7691175,"{'type': 'Point', 'coordinates': [-87.7691175, 41.90958]}",52,22615,26,597,7,2,29
